ID,LID,TLID,SignID,LinkID
1,16649,57,0,5627
2,16650,57,0,5626
3,16651,46,0,11327
4,16652,46,0,14162
5,16653,46,0,13610
6,16654,53,0,3073
7,16655,53,0,8354
8,16656,53,0,10830
9,16657,53,0,11151
10,16658,45,0,2258
11,16659,45,0,13572
12,16660,45,0,13779
13,16661,0,0,10866
14,16662,52,0,3379
15,16663,52,0,8068
16,16664,52,0,10867
17,16665,52,0,11182
18,16666,44,0,1954
19,16667,44,0,13537
20,16668,44,0,13748
21,16669,51,0,3597
22,16670,51,0,8103
23,16671,51,0,10902
24,16672,51,0,10903
25,16673,43,0,1722
26,16674,43,0,13717
27,16675,43,0,13496
28,16676,50,0,3880
29,16677,50,0,8487
30,16678,50,0,10943
31,16679,50,0,11214
32,16680,42,0,1456
33,16681,42,0,13685
34,16682,49,0,4239
35,16683,49,0,6975
36,16684,49,0,9775
37,16685,49,0,9775
38,16686,41,0,1096
39,16687,41,0,12410
40,16688,41,0,12410
41,16689,48,0,5095
42,16690,48,0,7801
43,16691,48,0,10600
44,16692,48,0,10600
45,16693,40,0,242
46,16694,40,0,11591
47,16695,47,0,5252
48,16696,47,0,8258
49,16697,47,0,11055
50,16698,47,0,10717
51,16699,39,0,108
52,16700,39,0,13368
53,16701,95,0,11074
54,16702,95,0,11074
55,16703,95,0,8277
56,16704,95,0,5365
57,16705,37,0,11286
58,16706,37,0,13320
59,16707,37,0,13320
60,16708,0,0,11312
61,16709,0,0,8305
62,16710,54,0,5651
63,16711,54,0,7985
64,16712,54,0,10785
65,16713,54,0,10785
